slice,n,pos,raw.pr_auc,raw.roc_auc,raw.f1,raw.precision,raw.recall,raw.brier,raw.logloss,raw.ece,raw.threshold,raw.recall_at_p>=0.50,raw.threshold_at_p>=0.50,platt.pr_auc,platt.roc_auc,platt.f1,platt.precision,platt.recall,platt.brier,platt.logloss,platt.ece,platt.threshold,platt.recall_at_p>=0.50,platt.threshold_at_p>=0.50,isotonic.pr_auc,isotonic.roc_auc,isotonic.f1,isotonic.precision,isotonic.recall,isotonic.brier,isotonic.logloss,isotonic.ece,isotonic.threshold,isotonic.recall_at_p>=0.50,isotonic.threshold_at_p>=0.50
GICS_Category=0,68,22,0.7811539501701825,0.8794466403162056,0.782608695652174,0.75,0.8181818181818182,0.13540124898853745,0.4246123870980847,0.15465464486795313,0.2600458860397339,0.9545454545454546,0.10715767741203308,0.7811539501701825,0.8794466403162056,0.782608695652174,0.75,0.8181818181818182,0.13514584718133338,0.429040224859481,0.1323825901349937,0.2600458860397339,0.9545454545454546,0.1420292536100239,0.7719808474353929,0.8883399209486166,0.6666666666666666,0.5428571428571428,0.8636363636363636,0.12783915990837466,0.40448761748498874,0.10016614450689625,0.2600458860397339,0.9545454545454546,0.234375
GICS_Category=1,267,77,0.7244973389611733,0.823444976076555,0.6198830409356725,0.5638297872340425,0.6883116883116883,0.14258880910990565,0.46233181886330343,0.07578974995720253,0.2600458860397339,0.7792207792207793,0.158812016248703,0.7244973389611733,0.823444976076555,0.6198830409356725,0.5638297872340425,0.6883116883116883,0.14188195976388024,0.4483057904417589,0.04243575934676696,0.2600458860397339,0.7792207792207793,0.1754999420960848,0.6761979565811149,0.8188995215311006,0.6217616580310881,0.5172413793103449,0.7792207792207793,0.14617874249244683,0.5791679557002132,0.06073548761981256,0.2600458860397339,0.7792207792207793,0.265625
GICS_Category=10,50,21,0.6741587020827058,0.768472906403941,0.6666666666666666,0.5128205128205128,0.9523809523809523,0.23294191952155616,0.7668884268826074,0.21010442316532138,0.2600458860397339,0.9523809523809523,0.23553745448589325,0.6741587020827058,0.768472906403941,0.6666666666666666,0.5128205128205128,0.9523809523809523,0.23277623862735655,0.6902905887122912,0.2185122250570724,0.2600458860397339,0.9523809523809523,0.23618313414158362,0.6495983324824581,0.7668308702791461,0.5970149253731343,0.43478260869565216,0.9523809523809523,0.24120550450428307,0.7083617996345211,0.24338657356798649,0.2600458860397339,0.9523809523809523,0.4177215099334717
GICS_Category=11,12,1,1.0,1.0,0.25,0.14285714285714285,1.0,0.18916107944507307,0.5410856623349946,0.3195163483421008,0.2600458860397339,1.0,0.8645054697990417,1.0,1.0,0.25,0.14285714285714285,1.0,0.2030834212134872,0.5977618034514891,0.3527041276073176,0.2600458860397339,1.0,0.8684619580245749,1.0,1.0,0.2222222222222222,0.125,1.0,0.21619505883663803,0.6057244171568852,0.35707079463948804,0.2600458860397339,1.0,0.8571428656578064
GICS_Category=3,27,5,0.6644444444444444,0.8999999999999999,0.6153846153846154,0.5,0.8,0.10844035155741712,0.3271071423958488,0.18173404451873565,0.2600458860397339,1.0,0.23145288228988647,0.6644444444444444,0.8999999999999999,0.6153846153846154,0.5,0.8,0.11772849963035505,0.37615733993859524,0.20057000909422898,0.2600458860397339,1.0,0.23261571149542892,0.6533333333333333,0.9136363636363636,0.6666666666666666,0.5,1.0,0.10890711971039677,0.34153778711021016,0.10422056623631054,0.2600458860397339,1.0,0.265625
GICS_Category=5,29,9,0.863795518207283,0.8777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.11313350093983231,0.38673342205135747,0.09876015859431234,0.2600458860397339,0.7777777777777778,0.1501382738351822,0.863795518207283,0.8777777777777778,0.8235294117647058,0.875,0.7777777777777778,0.10791740568438586,0.369289930654649,0.11138114966867556,0.2600458860397339,0.7777777777777778,0.1694749356922153,0.8508285469069783,0.8805555555555556,0.6363636363636364,0.5384615384615384,0.7777777777777778,0.11072767455189365,0.3679243222690679,0.11373711904061251,0.2600458860397339,0.7777777777777778,0.265625
GICS_Category=6,46,17,0.8828235361130099,0.8945233265720081,0.7777777777777778,0.7368421052631579,0.8235294117647058,0.11755205777932975,0.39203767995979355,0.1295195945903011,0.2600458860397339,0.8823529411764706,0.06389499455690384,0.8828235361130099,0.8945233265720081,0.7777777777777778,0.7368421052631579,0.8235294117647058,0.11721476185079895,0.3846718815756383,0.11335393613803493,0.2600458860397339,0.8823529411764706,0.11825143857743153,0.865840506242983,0.8884381338742393,0.7142857142857143,0.6,0.8823529411764706,0.11897519130502408,0.3932176635785388,0.09455382921125578,0.2600458860397339,0.8823529411764706,0.234375
GICS_Category=8,73,22,0.44131603263314534,0.6461675579322639,0.4528301886792453,0.3870967741935484,0.5454545454545454,0.23106747415460382,0.7530174097997634,0.1780394679062987,0.2600458860397339,0.5,0.42558953166007996,0.44131603263314534,0.6461675579322639,0.4528301886792453,0.3870967741935484,0.5454545454545454,0.2260941683350054,0.6683658259469464,0.1672397207068137,0.2600458860397339,0.5,0.43813145844252505,0.43195174514334606,0.6470588235294118,0.4838709677419355,0.375,0.6818181818181818,0.23341116748466603,0.6946124574697691,0.17148903226607465,0.2600458860397339,0.45454545454545453,0.5
GICS_Category=9,44,5,0.6866666666666665,0.9487179487179487,0.6,0.6,0.6,0.0724954000005841,0.23528314443539503,0.0957339485599236,0.2600458860397339,1.0,0.12541484832763672,0.6866666666666665,0.9487179487179487,0.6,0.6,0.6,0.07731216642512667,0.28101025254424494,0.1508561627416795,0.2600458860397339,1.0,0.15320516877123783,0.5445421245421245,0.941025641025641,0.6666666666666666,0.5714285714285714,0.8,0.07545605843923865,0.25259700433764043,0.07615760121155868,0.2600458860397339,0.8,0.265625
